year,avg_temp_c,precipitation_mm,rel_humidity,crop_prod_index,livestock_prod_index,fish_prod_tons,gdp_lcu,agri_value_added_lcu,agri_land_sqkm
1950,25.82,1060.28,57.75,,,,,,
1951,25.86,1220.57,60.56,,,,,,
1952,25.91,1140.11,58.29,,,,,,
1953,25.94,1090.55,58.27,,,,,,
1954,25.98,1031.32,59.03,,,,,,
1955,25.81,1133.5,57.52,,,,,,
1956,25.83,1191.52,57.7,,,,,,
1957,25.49,1279.46,63.09,,,,,,
1958,26.53,934.72,57.03,,,,,,
1959,26.48,899.87,55.21,,,,,,
1960,26.59,988.72,57.12,,,58510,2997268700,,
1961,26.16,929.6,54.82,19.31,17.19,55010,3190921200,,541760
1962,26.3,1059.18,58.74,20.41,15.71,65230,3506715100,,543230
1963,26.64,997.49,57.51,21.35,15.95,66250,3689708800,,544710
1964,26.73,770.75,52.85,21.86,17.6,85470,3966381100,,546180
1965,26.61,884.25,54.61,22.75,18.54,97280,4196100000,,547650
1966,26.76,909.57,54.18,21.81,18.07,110100,4547800000,,548130
1967,26.22,1171.45,56.86,22.71,20.08,119420,3716600000,,545600
1968,26.26,1220.53,59.54,23.11,19.82,120130,3715000000,,547080
1969,26.55,1236.64,61.06,25.61,23.16,115850,4738800000,,549550
1970,26.53,1101.69,57.35,27.6,23.85,155899,8961500000,,551520
1971,26.36,1160.95,57.51,24.69,23.45,245296,10375400000,,553000
1972,26.65,1081.25,58.69,21.93,21.78,246394,11034700000,,554470
1973,27.12,1096.78,56.33,22.64,25.79,250593,12251600000,,555940
1974,26.13,1165.78,58.61,25.19,27.79,257336,19604000000,,557420
1975,25.95,1171.69,59.95,23.55,27.98,256500,22945400000,,558890
1976,26.17,1144.1,62.06,21.66,33.58,260585,28611400000,,560360
1977,26.46,989.72,56.1,21.55,31.92,262178,33585000000,,559160
1978,26.31,1196.5,60.98,20.77,34.08,264068,36053000000,,560240
1979,26.63,1224.33,60.16,20.97,36.88,268753,42912000000,,563320
1980,26.7,1319.71,60.06,21.58,44.84,261293,50270000100,,565410
1981,26.4,1128.72,58.43,21.81,42.52,260132,1.39311E+11,17052175625,566490
1982,26.56,1073.85,59.4,22.23,45.88,269715,1.49051E+11,20125923754,567580
1983,26.85,866.06,54.37,22.16,50.05,272312,1.5875E+11,23797815568,568660
1984,26.82,1037.82,57.04,23.67,51.7,263933,1.65854E+11,30365184995,571730
1985,26.59,1188.69,57.96,25.09,57.97,245353,1.87831E+11,34237086700,574820
1986,26.76,1091.1,58.43,27.49,50.99,271573,1.98123E+11,35702635244,576900
1987,27.36,1060.67,55.33,28.16,52.07,260808,2.4468E+11,50286937894,577730
1988,26.8,1292.39,58.47,32.81,50.34,279514,3.15615E+11,73764505840,579640
1989,26.24,1087.29,55.82,36.78,49.55,300449,4.14861E+11,88264126108,581010
1990,27.02,1048.21,57.27,38.98,50.35,316328,4.94644E+11,1.06627E+11,587140
1991,26.68,1181.01,60.11,44.86,50.04,267705,5.9006E+11,1.23236E+11,594350
1992,26.24,1105.24,58.25,48.45,50.77,318415,9.06029E+11,1.84116E+11,605960
1993,26.81,1040.79,57.7,50.95,55.24,255499,1.25717E+12,2.95325E+11,609570
1994,26.48,1292.5,59.26,52.37,60.22,281232,1.76879E+12,4.45273E+11,619180
1995,26.71,1168.81,58.48,54.75,61.94,366101,3.10024E+12,7.90142E+11,640790
1996,26.81,1101.24,58.4,57.45,63.55,357484,4.08607E+12,1.07051E+12,642400
1997,26.8,1078.7,59.21,59.36,65.9,412220,4.41871E+12,1.21146E+12,644000
1998,27.39,1097.34,56.79,61.1,71.91,483482,4.80516E+12,1.34104E+12,652110
1999,26.88,1241.89,58.99,63.76,75.19,477365,5.48235E+12,1.42697E+12,653600
2000,26.66,1033.15,56.13,64.38,74.71,467095,7.06275E+12,1.50841E+12,655080
2001,26.73,998.16,56.64,63.49,81.1,476544,8.23449E+12,2.01542E+12,656670
2002,26.86,1051.55,57.7,66.64,85.71,511719,1.15015E+13,4.25152E+12,658080
2003,27.07,1007.59,58.43,70.19,83.38,505839,1.3557E+13,4.58593E+12,659570
2004,27.14,999.91,57.47,74.89,86.49,509201,1.81241E+13,4.93526E+12,661030
2005,27.5,988.48,57.5,79.41,87.33,579537,2.31219E+13,6.03233E+12,662560
2006,27.45,1008.7,56.66,85.08,85.91,636901,3.03752E+13,7.5133E+12,663970
2007,27,1040.05,57.01,78.37,92.88,615507,3.46759E+13,8.55198E+12,665460
2008,26.82,1087.07,56.78,83.65,95.14,744575,3.99542E+13,1.01003E+13,666960
2009,27.5,1037.43,58.28,73.67,98.7,751006,4.34615E+13,1.16254E+13,668430
2010,27.73,1127.56,58.34,84.62,98.36,817516,5.46123E+13,1.30489E+13,669940
2011,27.23,985.73,57.11,78.01,95.04,856614,6.31347E+13,1.40378E+13,671430
2012,27,1193.53,60.12,86.87,90.28,922652,7.23515E+13,1.5816E+13,672930
2013,27.26,1053.83,60.34,83.37,98.47,1000061,8.101E+13,1.68166E+13,674420
2014,27.11,1176.6,60.2,95.08,99.84,1073059,9.0137E+13,1.80186E+13,675930
2015,27.27,1030.93,55.89,97.29,101.97,1027058,9.51777E+13,1.9637E+13,677370
2016,27.41,1178.99,58.75,107.64,98.18,1041498,1.02575E+14,2.15235E+13,678910
2017,27.39,1052.2,56.86,109.74,100.67,1212474.97,1.14899E+14,2.39526E+13,680390
2018,27.19,1081.44,58.64,114.88,103.97,1169478,1.29087E+14,2.73713E+13,681920
2019,27.25,1264.21,60.3,109.64,108.44,1114556.25,1.45639E+14,3.19041E+13,683420
2020,27.26,1001.08,57.81,112.71,111.48,1044812.42,1.54252E+14,3.72416E+13,684930
2021,27.5,888.86,57.26,118.31,111.54,1080855,1.76076E+14,4.11261E+13,686440
2022,26.97,993.73,58.02,120.89,112.91,1043230,2.02365E+14,4.79441E+13,
2023,,,,,,,2.34426E+14,5.32731E+13,
